target_uniprotAC,source_name,source_pathways
O14763,NFKB1,
O00220,NFKB1,
Q92956,E2F4,
P28908,E2F4,
P08138,PPARG,NHR(core)
O14836,PLAG1,
O00220,PLAG1,
P28908,ESR2,NHR(core)
P28908,PLAG1,
P08138,RELA,
Q9Y6Q6,RELA,
P28908,RELA,
P36941,RXRA,NHR(core)
P08138,RXRA,NHR(core)
Q9NS68,TCF3,WNT/Wingless(core)
Q9HAV5,TCF3,WNT/Wingless(core)
Q9UBN6,HIF1A,Notch(non-core)
Q9Y6Q6,TAB2,RTK(non-core)
O14763,TEAD1,
P28908,TEAD1,
O14836,NR2F1,NHR(core)
Q9Y6Q6,STAT1,JAK/STAT(core)
Q9UBN6,STAT1,JAK/STAT(core)
P08138,NR2F1,NHR(core)
Q92956,SMARCA4,
P28908,SMARCA4,
Q9Y6Q6,NR2F1,NHR(core)
Q9UBN6,NR2F1,NHR(core)
O00220,NR2F1,NHR(core)
P28908,NR2F1,NHR(core)
O14763,TP53,"RTK(non-core),Notch(non-core)"
Q9NS68,VDR,NHR(core)
Q92956,VDR,NHR(core)
Q9Y6Q6,VDR,NHR(core)
O14763,VDR,NHR(core)
O00220,VDR,NHR(core)
Q9Y6Q6,RREB1,
Q9Y6Q6,NHLH1,
O00220,NHLH1,
P28908,GATA2,
P36941,IRF1,
P08138,IRF1,
Q9Y6Q6,IRF1,
O14763,IRF1,
O00220,IRF1,
P28908,IRF1,
P28908,NFE2L2,
P28908,PPARG,NHR(core)
P36941,RREB1,
P08138,RREB1,
P28908,RREB1,
O14836,STAT1,JAK/STAT(core)
Q9HAV5,STAT1,JAK/STAT(core)
P28908,c-myc,
P08138,EWSR1-FLI1,
Q92956,EWSR1-FLI1,
P28908,STAT1,JAK/STAT(core)
P28908,ETS1,
Q9Y6Q6,TCF3,WNT/Wingless(core)
O14763,TCF3,WNT/Wingless(core)
Q92956,c-myc,
P28908,AR,NHR(core)
P36941,AR,NHR(core)
O00220,AR,NHR(core)
Q9NS68,AR,NHR(core)
P28908,ETS1,RTK(core)
P08138,ETS1,RTK(core)
Q92956,ETS1,RTK(core)
O14763,ETS1,RTK(core)
O00220,ETS1,RTK(core)
Q9NS68,ETS1,RTK(core)
P08138,GATA2,
Q92956,GATA2,
O00220,GATA2,
O00220,GLI3,Hedgehog(core)
P28908,MYC,"RTK(core),TGF(core)"
P28908,YBX1,
Q9Y6Q6,YBX1,
P08138,TFAP2C,
O14763,TFAP2C,
O00220,TP53,"RTK(non-core),Notch(non-core)"
Q9HAV5,TP73,RTK(non-core)
P28908,JM2,
Q9Y6Q6,JM2,
O00220,JM2,
O14836,JM2,
P08138,PRDM14,
O14763,PRDM14,
P36941,EWSR1-FLI1,
O14836,TEAD1,
O00220,hsa-mir-155,
O14763,hsa-mir-365-2,
P36941,hsa-mir-340,
P36941,hsa-mir-330,
O14763,hsa-mir-491,
P08138,hsa-mir-564,
P36941,hsa-mir-566,
P36941,hsa-mir-567,
P08138,hsa-mir-582,
P36941,hsa-mir-641,
P08138,hsa-mir-411,
P36941,hsa-mir-655,
O14763,DDIT3,RTK(core)
P08138,c-myc,
Q9NS68,EP300,Notch(non-core)
Q9Y6Q6,SRC,RTK(non-core)
P28908,ALK,RTK(core)
Q92956,ETS1,
P28908,TRAF1,
Q9Y6Q6,NFE2L2,
P08138,CTCF,
O14763,CTCF,
P28908,CTCF,
O00220,ELK4,RTK(core)
O14836,ESR1,"NHR(core),TGF(non-core)"
Q9Y6Q6,PAX6,
P36941,ESR1,"NHR(core),TGF(non-core)"
P08138,ESR1,"NHR(core),TGF(non-core)"
Q92956,ESR1,"NHR(core),TGF(non-core)"
P28908,ESR1,"NHR(core),TGF(non-core)"
O14836,ESR2,NHR(core)
Q9NS68,ESR2,NHR(core)
O14836,FOXI1,
Q9Y6Q6,FOXI1,
O14836,FOXA1,
Q9Y6Q6,FOXA1,
O14763,FOXA1,
P28908,FOXA1,
O00220,PBX1,
O14836,INSM1,
P08138,INSM1,
Q92956,CTCF,
Q9NS68,STAT1,JAK/STAT(core)
Q92956,INSM1,
O14763,INSM1,
P28908,INSM1,
P28908,E2F1,
O14836,NFKB1,
P36941,NFKB1,
P08138,NFKB1,
